環境の変化は国家安全保障上の利益と両立しうるか?,天然資源管理や雇用など、経済成長に対する環境問題は、多様化や研究につながり、長期的には軍事計画を強化する技術的進歩をもたらす可能性がある。,環境の変化は、軍事力を左右する経済基盤の弱体化など、さまざまな形で国家の安全保障を損なう可能性がある。つまり、経済の自然資本基盤が損なわれれば、軍隊の長期的能力も損なわれる。しかし、どのような発展であれ、その影響は「人間的」なものである。,各国が直面する環境問題は、主として国内問題である。外部からの脅威は、その国がコントロールできる範囲にとどまる。外部からの軍事的脅威は、変わることなく、主要な懸念事項であり続ける。,これらすべての選択肢。,B
セクター別の安全保障分析に対するHMのアプローチとして、最も適切なものはこれらの記述のうちどれか?,HMは、安全保障はセクター別の枠組みで捉えることができるという考えに賛成であり、そのようなアプローチによって可能となる分析の深さを認識している。,安全保障は国家中心のアプローチの産物であるとして、ブザンらのセクター別安全保障分析論を否定する。,HMは、安全保障には明確で個別のセクターが存在するというブザンらの主張を否定し、その代わりに国家や国境を越えた階級が重要な要素であるという安全保障の全体的な見方を採用する。,HMは、安全保障分析のセクター・アプローチを支持し、特に参照対象として国家を優先し、その理論的基盤の多くをセクター・アプローチを支えるリアリズムの原則から引き出している。,C
1980年代の平和研究の重要性は何だったか?,平和研究は学際的で政治的志向が強く、政治システムの主要な権力者に説明責任を負う政策的責任を即座に負うものであった。,大学のIRとは対照的に、平和研究は、すぐに政策的な答えを出すことを強く期待され、関連する問題を扱わなければならないという大きなプレッシャーにさらされていた。,政策責任からは距離があったが、平和運動が定めた期間に安全保障問題が政治化されたことから、欧州の安全保障研究は政治的な関連性を獲得した。,この分野は、支配的な分野としての政治理論によって同時に情報を与えられ、異なる分野における理論の発展から隔離された。,C
次の記述のうち、国際システムに関する自由主義的概念を説明していないものはどれか?,国際政治はどこでも同じではなく、ある特定の場所である特定の時間においてのみ「現実主義的」であるにすぎない。,国民国家は国際システムの中で単一の行為者としては存在しない。,国民国家は基本的に同じではない。,国家は、国際関係の研究において考慮されるべき唯一の主体であり、また、そうあり続けるべき。,D
次のうち、安全保障の「深化と拡大」の一部と考えられるのはどれか?,アイデンティティと安全保障の関連性。,戦争、軍隊、主権国家。,環境の変化。,これらすべての選択肢。,D
ゲーム理論と抑止論は、安全保障研究の「黄金時代」において、どのような知的発展を遂げたか?,抑止理論とゲーム理論は学界で大きな影響力を持つようになり、政治的に中心的な役割を果たすようになった。なぜなら、対象の性質が高度な規範的理論化を可能にし、それには批判の精神を育む技術的悲観論の雰囲気が伴っていたから。,先進的な研究プログラムは、「確実な第二次攻撃能力」、「拡大抑止」、「エスカレーション支配」の世界といった抽象的な独自の現実を実際に形成する理論を生み出した。,知的発展としてのゲーム理論と抑止理論は、政策的妥当性・有用性と理論的抽象性・洗練性のトレードオフをもたらした。,上記のいずれでもない。抑止論の影響は幻想的であった。核兵器の増強と先制攻撃志向の政策は、射撃能力の最大化という内的論理によって推進された。理論は、その意図を裏切る煙幕の役割を果たした。,B
グローバルな安全保障環境の変化は、21世紀において発展する紛争の性質をどのように形作っていくのか?,人の移動は、権力、富、資源の分配における世界的な不平等の結果として生じる。 住民の無力化は、国境を越えた移動に現れる競争と暴力につながり、環境の脅威と資源の不足は紛争につながる。,国家間の経済的相互依存は、世界の安全保障を強化し、国際紛争の減少につながる。人間の移動は、人口過密と資源不足をもたらすが、これは、移動の大半が行われる発展途上国の技術進歩によって対処される。,資源不足、人口増加、人の移動によって、多様なアイデンティティ集団がますます緊密に接触せざるを得なくなるため、国際レベルでも国家レベルでも、紛争の主な原因は集団間のイデオロギーの相違に基づくものになる。,環境問題は、世界経済危機とそれに続く原理主義イデオロギーと暴力の台頭によってもたらされる、国際安全保障に対する差し迫った脅威によって影を潜める。貧困によって移動が制限されるため、人間の移動は現在の世界経済システムの中で管理されることになるが、権限剥奪と資源不足の結果として国境を越えた反乱が起こるリスクは限定的。,A
弱小国家の安全保障のジレンマは避けられない条件なのか?,世界的な対テロ戦争は、国家建設プロジェクトにプラスの効果をもたらした。テロとの闘いは、テロリズムの発生を促進する多層的な要因の認識の一環として、国際的な関心と資源を不安の根絶へと向け直してきた。具体的には、武器の拡散を規制することである。,弱小国家の不安の問題は、国際的なアジェンダの中で優先順位が低く、解決策も自由主義的な複数政党制民主主義と自由市場資本主義の文脈を超えていない。これまでのところ、新自由主義を強要した事例で、条件付け、政権交代、平和構築のいずれによっても、弱小国家を強国に変えることに成功した例はひとつもないということである。,自由主義改革の失敗は、国家を超えた政治組織の代替形態という選択肢の実行可能性を高めていることを浮き彫りにした。準国家組織は、武器や貧困の問題が蔓延する地域に対処するための現実的な解決策であり、地域組織はアフリカやラテンアメリカにおける持続可能な構造形態である。,弱小国家は、効果的な地位を獲得するために、長期にわたる困難なプロセスに着手してきた。長期的な安全保障戦略の結果、複数の政党の設立、経済の自由化、国際社会の加盟など、最悪の影響を打ち消すための措置が採用された。,B
最近の世界的な経済危機は、自由主義の視点に対する挑戦としてどのように捉えられるだろうか?,検閲や監視という形で、政府によるサイバースペースの規制が強まっている。,危機は、大規模な経済崩壊と伝染という形で、世界的大惨事を防ぐための国際協力の失敗を明らかにした。,これらすべての選択肢。,国有化や国家資金による開発など、主要な産業・金融部門への国家の関与が強まっている。,D
安全保障研究の制度的革新を促進した要因は何か?,民間の専門知識の必要性、すなわち技術開発によって推進される必要性は、急速に変化する技術の目標を定めた開発から、与えられた技術の展開へと移行する結果となった。,理論が必要であったのは、核技術が本質的に経験的なものであり、ある紛争状況において起こりうる事象のボトムライン、すなわち抑止力のゲームによってコントロールされるものとみなされていたから。,長期的な動員の潜在的な意味合いについて、より広範な政治的配慮がなされた結果、戦術的な作戦から長期的な戦略へとシフトした。,核兵器と冷戦期の政治的配慮の組み合わせは、経済、政治、軍事計画を調整する高度に結束した強力な軍事指導部を必要とした。,C
ハウデノサウニー連合国の「平和の大法則」について正しいものは次のうちどれか?,大法則は、批評を持続させることに失敗するという問題を学者たちに警告している。,大法の事例は、研究と知識生産の実践を批判的に捉えることの重要性を示している。,偉大な法は、実証された非国家的アプローチを表すものであるため、従来の安全保障研究にとって課題である。,これらすべて。,D
冷戦後、核抑止力が国際政治に与えた影響は何か?,拡散悲観論という学問的な傾向が生まれつつあるが、この傾向は冷戦の終結とともに収まるどころか勢いを増している。誤認や心理的、技術的な問題によって偶発的な戦争が起こり、抑止政策の失敗につながる緊張のスパイラルに陥ることが懸念されている。加えて、国際的な（そして無政府的な）システムの複雑さの中で、国家が人間と機械の相互作用をうまく予測できないことから生じる通常の事故も起こりうる。,拡散楽観主義者は、核技術が戦争に向かう保持主体の傾向につながるという主張に異議を唱えている。 彼らは、テロリストが武器を入手することで、国際システムに実存的な脅威をもたらすリスクがあることを認めているが、その脅威はまだ現実のものではない。 さらに、報復する能力は、相手の潜在的な利益を排除することができる。,報復能力（確実な第二撃能力）が危機的安定と呼ばれる状況を生み出すという認識にもかかわらず、安定化の源泉であれ、実存的脅威であれ、核戦力の影響に関するコンセンサスは得られていない。しかし、既存の抑止戦略や能力では核兵器の使用に対処できないという認識に基づき、大量破壊兵器の能力が非国家主体に広がることは、国際安全保障にとって根本的に有害であるという点では一致している。実際、その可能性が存在する限り、国家は安全保障への取り組みを強化しなければならない。,抑止力は、冷戦時代には安定化の源泉であったことが証明されているが、核拡散悲観論者は、新しい国家の開発プログラムは、国家のスポンサーが善良な管理者として行動するという十分な保証を提供しないと主張する。国家の体制が脆弱であれば、破壊工作や偶発的な使用、あるいは窃盗が発生するかもしれない。また、国家が抑止力を装って技術を開発する一方で、下心があるという問題もある。国内的な圧力によって、政権が迅速な勝利と地位の強化のために核戦争戦略に傾倒する可能性もある。,C
理想的な政策の枠組みは、強制外交を成功させるための必要条件に関するこれまでの理解をどのような点で説明しているか?,西側民主主義国家が、自国の死活的利益を脅かさない紛争において民衆の支持を維持することが困難であることを考慮すると、相手国は、このようなシナリオで長期戦を戦うという西側諸国の脅しをハッタリと見なすだろう。このことは、実際には、強制する側が軍事的に優位に立ち、相手のアジェンダを実現する能力を否定し、自国の利益を直接脅かすコストを課す能力がなければならないことを意味する。,信憑性を最大化するには、必要な軍事力に裏打ちされた迅速な敗北の脅しでは不十分である。遵守の期限が伴わなければならない。従って、遵守期限を設定しないことは、威圧者に脅威を実行する意志がないことの証拠として相互に関連することになる。,成功の見込みを高めるためには、新たな要求に対する保証が含まれていなければならない。恐怖が正当に存在すれば、順守する動機は著しく低下する。,これらすべての選択肢。不服従にコストがかかりすぎるようにするために、強制者は敵対者を打ち負かすと脅し、敵対者の目的を迅速かつ少ないコストで否定しなければならない。この脅しは2つのことを達成するように設計されている：容認できないエスカレーションの恐怖、脅威を現実味のあるものにすること。,D
ポストコロニアル分析では、「厚い空間」という言葉をどのような意味で使うのだろうか?,国際組織を、階層的に秩序づけられ、構築された政治的、経済的、社会的、軍事的、文化的関係の濃密な集合で構成されたものとして説明するため。,いわゆる第三世界を優遇する西洋列強の知識と実践によって生み出された空間として国際組織を説明するため。,帝国的なIRの解釈のなかで、抑圧されたり疎外されたりしている国々について説明するため。,ヨーロッパ中心主義的な国際認識を支える主権とヴェストファーレン規範によって体現される権力について説明するため。,A
これらの戦争のうち、一方の圧倒的な技術的優位が敵の急速な敗北につながった戦争はどれか?,ベトナム戦争,第二次世界大戦,第一次世界大戦,1991年湾岸戦争,D
冷戦後の安全保障研究を支配しているアプローチや視点はどれか?,人々の集団が何かを脅威として構築する社会的プロセスの検証。,平和への課題。軍事的対立を回避するための優先事項としての平和維持、平和創造、紛争予防。,不安定の原因となりうる過去の慣行についての再検討。,安全保障と安定の維持という点で有益な、体制内の権力配分の創出と維持に専念する国家安全保障戦略。,C
人間の安全保障を達成する上での国家の役割をどのように定義できるか?,国家は、人間に対する暴力行為という点で最も顕著な脅威であり、それ故に人間の安全保障を直接脅かす。,国家は、人間の指示対象を確保するための最大の物質的資源と権力を有している。,短期的には、人々が残虐行為からの即時の救済を必要とする多くの現在の危機があるので、干渉しない状態と政策アプローチを採用することは役に立たない。,これらすべての選択肢。,D
経済学的安全保障分析における行動の関連性とは何か?,意思決定を行う個人の科学としての経済学、そして経済学を安全保障に応用することで、国家や他の安全保障主体の行動を理解し、予測し、対応することができる。,資本主義の成長は、個人消費者を世界市場の形成において極めて重要な場所に押し上げた。 消費者の行動がグローバルシステムの性質を決定する。,社会構成主義的な関心事としての行動は、経済理論や安全保障理論全般とは無関係。,国家の行動は、有利な貿易協定を確保し、強力な国内市場を構築するという点で、その経済的利益に支配される。したがって、国家の行動は経済的な考慮によって決定される。,A
環境安全保障の概念には、どのような長期的傾向が予想されるか?,9.11以降、従来の安全保障の考え方に回帰する中で、概念としての環境安全保障は、安全保障アナリストや政策立案者から引き続き注目される可能性が高い。,環境不安の悪影響を示す証拠が増加することで、国家安全保障上の利益と行動がますます支配される可能性がある。 紛争の可能性を増大させる悪影響を及ぼす可能性のある国家の社会組織を維持するために、国家の一国主義的イニシアティブがとられるまで、その関連性は高まるであろう。,国家安全保障の実践は、脅威に対して国の社会経済的組織基盤を強化するための環境安全保障改革を達成するための最も効果的な手段である。 国家は、現実的なレベルでは、暴力の手段を独占し、資源を集中させることで、環境制約の管理のための国家間協定を締結する最も有能な機関であり続けている。,環境問題の影響は減少しそうにないため、環境安全保障と政策との関連性、特に、生態学的に持続可能な社会組織形態を実現するための共通の安全保障上の懸念に関する多国間行動が高まる可能性が高い。ある意味で、現在の国家安全保障の慣行は、すべての人々のための環境安全保障を達成する妨げとなっている。,D
「エネルギー安全保障ネクサス」とは何を意味するのか?,「エネルギー安全保障ネクサス」とは、エネルギー供給と、その供給に依存する国家が達成できる安全保障レベルとの間の一定の流動状態を指す。,「エネルギー安全保障ネクサス」とは、2つの国家が、石油埋蔵量のような同じ、しばしば限られたエネルギー資源へのアクセスを直接争うところに存在する。,「エネルギー安全保障ネクサス」が国際システムに存在するのは、エネルギー需給の地理的分布が均等でないためである。したがって、国家は互いに複雑で絡み合った関係に引き込まれている。,「エネルギー安全保障のネクサス」は、供給と需要の地理的分布が均等でないことを確実にするために、石油資源の豊富な国家が戦略的な計画を立てた結果として、地球規模のシステムに存在する。,C
ブラウン氏とチバ氏 (2004年)は、固有の核プログラムが核拡散保障措置を時代遅れにしていると主張している。この議論を支持するケースがあるとすれば、どのような方法で主張できるか?,大量破壊兵器は、地域あるいは超大国のライバルと比較して、通常兵装における劣勢を相殺する手段を提供する可能性がある。大量破壊兵器の保有は、潜在的な脅威に対して、より強い相手国に対する抑止力として機能するかもしれないし、戦闘になった場合に敵対国を打ち負かすために使用されるかもしれない。また、大量破壊兵器の能力は、国際社会における自動的な地位や外交的影響力を得るために開発されることもある。,大量破壊兵器の拡散により、テロリストが兵器を開発する能力を獲得することが懸念されているが、原始的な銃タイプの核兵器を製造することさえ、依然として非常に困難である。しかし、核兵器の能力はつかみにくいかもしれないが、国際的あるいは国内のテロリスト・ネットワークは、化学兵器、生物兵器、放射性兵器を製造・使用する資源を持っているかもしれない。,大量破壊兵器は、その入手可能性、致死性、破壊力、製造の容易さにおいて千差万別である。これは、兵器の種類によって潜在的な脅威が異なることを意味する。高収率で軽量の核兵器には最先端の技術が使われているが、化学兵器や生物兵器の中には、長い間利用されてきたものもある。大量破壊兵器を通常兵器とは別物とするのは、高レベルの破壊を引き起こす可能性である。大量破壊兵器は、保有することで心理的な恐怖を与えることができるため、政治的な武器として非常に望ましい存在であり続けるだろう。,これらすべての選択肢。,D
ポストコロニアル・アプローチにおける次の記述のうち、正しいものはどれか?,国際システムは、植民地化された言説によって形成され、特定の国家が他の国家より劣っているという概念を確立している。,自由貿易と民主主義というヨーロッパの慣行は、平和で安定した国際システムの構築に最も適している。,第二次世界大戦の終結と大英帝国の漸進的解体により、ポストコロニアリズムの多くは冗長になった。,植民地権力は、占領国の軍事行動によってのみ存在する。,A
大西洋の両岸における理論化に関して、どのような違いが生まれたか?,アメリカの視点からは、安全保障の主役は外部にあると考えるのが一般的である。何が安全保障問題としてカウントされるべきか、されるべきでないか、安全保障をどのように概念化するかという問題。,ヨーロッパ学校は覇権主義的な知識形態に基づいている。知識は、それらが作用する物質に関連した因果メカニズムの理解として考えられている。,知識の形態の違いは、政策との関係についての相反する概念に関連している：アメリカの政治学における問題解決の伝統とヨーロッパの批判的研究。,理論化には、経験的に立証された因果関係に基づく理論的な知識形態が並行して存在する。,C
伝統的なアプローチは、国家がなぜ、どのように安全保障を求めてきたのかを説明しようとするものである。伝統的な安全保障研究のアプローチを最もよく表している答えはどれか?,伝統的な理論は、国際政治を国際システムのメンバー間の力の配分として、特に主要国間の力の均衡として説明する。国家の相対的なパワーと制約は、その国家の安全保障戦略を反映している。,伝統的なアプローチは、冷戦と2つの超大国間の緊張と競争の蓄積に対応して生まれた。伝統的な理論は、武器の蓄積という観点から行動を説明しようとするものである。,伝統的な概念は、国際システムにおける特定の活動領域における紛争と協力の管理につながる規範や行動パターンのクラスターを説明するために生まれた。,伝統的なアプローチは主権に関するものである。主権とは法的地位であり、国家に特定の領土に対する支配権を与え、恣意的な介入から自由であり、いかなる上位の権威にも責任を負わないことを意味する。伝統的な理論では、国際システムにおける主権国家の行動パターンと相対的な協力関係を検討する。,D
次の記述のうち、誤っているものはどれか?,教会や学校など、文化的価値の再生産を促進する機関は、そうした文化的価値を統制し強化するために利用できる。,政治的ナショナリズム戦略は、国家がナショナリズムの利益を高めるために用いることができる。,国家内部から特定の社会集団を追放するための軍隊の関与。,分離は、社会集団が弱体化や破壊の脅威にさらされている可能性のある、より大きな実体から撤退することを可能にする。,C
社会的アイデンティティはどの程度まで軍事的に守ることができるのか?,ある集団が他の集団にもたらす脅威が軍事的なものである場合、特に歴史的な祖国の防衛につながる場合は、武力による対応が必要である。国内レベルでは、多くの社会集団はそのような武力による保護手段を持たず、非軍事的な対抗手段を採用せざるを得ない。,自分たちのアイデンティティに対する政治的・軍事的脅威に直面した国内集団は、自らを守る手段として自分たちで民兵や防衛軍を組織する。その結果、準国家が樹立され、国家の領土保全が損なわれる可能性がある。,国家と連携しているため、社会は、社会の安全が脅かされた場合、（軍事報復という形で）国の軍隊の行使に即時かつ明確にアクセスできる。,社会集団は軍事的脅威に直面しない。アイデンティティと社会的結束によって構成されるため、軍事力は社会集団に対していかなる意味においても関与しない。,A
軍事革命の定義は次のうちどれか?,任命されていた指導者が内部の軍事力によって追放されるクーデター。,戦争の遂行方法と理解方法の大きな変化。,核兵器の誕生など、技術的進歩における転換点。,戦争の基本的特性を変えるような技術進歩の転換点。,D
史的唯物論とグローバル正義運動との関係は何か?,パラダイムとしての史的唯物論は、世界金融危機後の新自由主義の拡大を主張するグローバル正義運動の広範な目標と対立している。,史的唯物論には、グローバルな正義を支持し、不平等に反対してきた確立された歴史がある。冷戦時代には、抑圧的な共産主義国家に反対する根拠となった。,史的唯物論は、資本主義について独自の視点を提供するものではなく、資本主義体制における人々の搾取や疎外よりも、資本主義貿易の歴史に関心を寄せている。,史的唯物論は、人権と経済的権利の両方に関わることがある。史的唯物論は、反グローバリゼーション運動や代替グローバル化運動（占拠抗議を含む）の重要な一部となっている。,D
ヴェストファーレン体制と人道的介入の関係は何か?,ヴェストファーレン条約は、グローバルな政治制度を提唱する中で、国家主権をその国家の政治的エリートや支配的エリートの行動に主観的なものとして定義し、主権という恣意的な価値観よりも人間の福祉を優先させ、その結果、必要な場合には人道的介入を正当化した。,ヴェストファーレン体制の理論は、安全保障を達成するためには不介入の原則が最も重要であるとしている。これは、国連などの国際機関が人道的介入を国家中心の安全保障にとって有害であるとして非難している現代のグローバルな安全保障環境にも及んでいる。,ヴェストファーレン的アプローチを支える国家主権と不干渉の原則は、国家内の人命が危険にさらされており、その危険が国家自体の行動によるものであるという国際的行為者間のコンセンサスがあれば、無視することができる。,国際社会は、安全保障を達成する手段として不介入と国家主権の尊重を主張するヴェストファーレン体制の規範に支配されている。こうした規範は国際連合憲章に明記されており、自衛のため、または国連が許可した場合を除き、国家間の武力行使を禁止している。,D
冷戦後の発展は、どのように国家権力を弱体化させたか?,貿易、金融、移動のグローバル化が進んだことで、犯罪者が国境を越えて不正な利益や違法な商品を移動させたり、サービスを提供したり、人を密入国させたりすることが容易になり、TNCを助長する環境が生まれた。,1980年代以降、民主主義への政治的移行と自由市場資本主義への経済的移行が相次いだが、これは同じ国でしばしば同時に発生した現象であり、法の支配を執行する国家の能力が損なわれ、組織犯罪集団が移行期の社会に入り込む新たな機会を生み出した。,世界各地で内紛が急増したことも、新世代の難民を生み出した。こうしたディアスポラは、国境を越えた犯罪活動を促進するのに役立つ家族や民族の絆を提供した。,これらすべての選択肢。,D
平和研究によれば、最近の技術変化と発展はどのような意味を持つのか?,技術開発は世界人口の大部分には影響を与えないので、電気通信やデジタルメディアの進歩は平和研究にとって関心事ではない。,デジタル情報・メディア・通信技術は、世界の人々が自分たちの住む世界や周囲の人々の生活についてより深く知ることで、国際システムの大きな調和を促す可能性が高い。,メディアやインターネットなどのデジタル情報にアクセスできるようになれば、権利を奪われた人々は、自分たちが排除されていることやグローバル・システムの不平等に気づくようになるだろう。これは、広範な不満と革命につながる可能性がある。,技術的変化と発展は、すでに支配的な国際的に影響力のある人物や機関を強化し、国際関係の現状を強化する可能性が高い。,C
国家による非効率的なバランシングや責任転嫁は何をもたらすか?,非伝統的な安全保障上の脅威の増加。,より協力的な国際システム,より競争的な国際システム,国家間の同盟と軍事的抑制の増加。,C
社会の安全保障に不可欠なものは次のうちどれか?,主権。,アイデンティティー。,これらすべての選択肢。,覇権的民族性。,B
構造調整政策の既存の遺産を最もよく表しているのは次のうちどれか?,構造調整政策は、発展途上国におけるマクロ経済の安全保障という目的を達成する上で、ほぼ成功している。,構造調整政策が基づいてきた新自由主義の原則は、発展途上国における人間の福祉を促進するのに適していることが証明されている。,新自由主義に基づく調整政策は、開発途上国に不必要な大きな苦難をもたらし、マクロ経済の安定と成長のための目的を達成したという証拠はまだない。,構造調整政策が適用された国々において、経済成長とマクロ経済の安定を促進したという重要な証拠がある。,C
安全保障政策の経済的手段でないものは次のうちどれか?,制裁,外交,貿易,援助,B
安全保障研究におけるポスト構造主義批判の価値は何か?,安全保障に関する従来の言説から取り残された政治的主体性の働きを理解できるようにすること。,権力の基盤とその構造について、従来の分析よりも深く考察すること。,今日の安全保障を決定しているのは、スマート兵器とテクノロジーであるという考え方に異議を唱えること。,これらすべて。,D
次の方法のうち、ポストコロニアリズムを安全保障に関する他の視点と区別する決定的な特徴でないものはどれか?,ポストコロニアリズムは、安全保障研究において、国家や共同体集団を有効な参照対象として独自に考えている。,ポストコロニアリズムは、大規模な戦争だけでなく、いわゆる「小さな戦争」や非対称紛争も考慮に入れている。,ポストコロニアリズムは、世界政治における暴力の役割に独特の焦点を当てる。,ポストコロニアリズムは、主に、またはもっぱらヨーロッパ的な知識形態というわけではない。,A
理想的な政策の枠組みは、どのようにして、実践者が成功するための分析的枠組みを提供するのか?,理想的な政策の枠組みは、例えば、政策立案者がなぜ理想的な政策を実施する、あるいは実施しないという決定を下すのか、といった強制外交の使用に影響を与える状況要因を理解するための分析ツールを提供する。,理想的政策の枠組みは、侵略に対抗するための強制的外交の使用に焦点を当てている。理想的政策は、強制する側の行動のみに基づいて、最小限の成功条件で説明し、結果を予測する。,理想的な政策は、第一に、可能性のある最大数の原因条件を検討するため、第二に、強 制的外交の使用に関連する状況的要因に条件を適用させるために、広範な枠組みを提供す る。,理想的な政策の枠組みは、不遵守があまりにも高くつくようにするためには、強制する側が敵対国を打ち負かすか、目標の目的を否定するよう脅す必要があることを認識している。成功の条件は、強制者による武力による威嚇において極めて重要。,B
アラブの春に対する西側の反応は、自由主義に対するどのような挑戦を示したのだろうか?,自由主義者の視点は、民主主義、自由企業、市民権といった西洋的な考えに基づいているという問題提起。,自由主義はアラブの春に対処する明確な方法を提供せず、その矛盾と不両立が露呈した。,自由主義者の視点は、自由主義がいつ、どのように、問題のアラブ諸国に広まるのかを明確に説明していない。,上記のすべて,D
現実主義とは何か?,現実主義とは、国家に焦点を当て、国家が安全保障やその他の目標を達成するためにどのような戦略を取るべきかを決定しようとする、安全保障研究の一連のアプローチである。,現実主義とは、安全保障研究に対するあらゆる伝統的なアプローチに適用できる広義の用語である。,現実主義は、軍隊が関与するあらゆる安全保障上の脅威を包含する一連のアプローチである。,現実主義は、国家の行動が国際舞台を構築し、この行動は国家の内部環境を通じて確立されるという信念によって定義される。,A
次のうち、ポストコロニアリズムが特定した3つの暴力形態の1つではないものはどれか?,物質的暴力,認識論的暴力,構造的暴力,まん延した暴力,D
次のうち、安全保障研究の伝統的な解釈からの脱却を意味するものはどれか?,批判的な問いかけ,現実主義の論理,国家中心の安全保障分析,これらすべての選択肢,A
テロリズムの原因は何か?,民主化とナショナリズムがテロの機会を抑制する：ナショナリズムは民族間の相違を統一するイデオロギー的なダイナミズムを提供し、民主主義は建設的な方法で不満を明確にすることを可能にする。この分析の中では、民主主義やナショナリズムの信任が弱い国家が、テロリズムの発展に寄与する条件を提供している可能性がある。,イスラム集団間のテロリズムは、近代化に伴う世俗主義と対立する民族中心主義的な路線で展開される。テロリズムが中東におけるイスラム社会への脅威を中心に組織化された一方で、その脅威への対応が、西欧の価値観に侵入するイスラム教徒に脅威を感じるヨーロッパのグループを生み出す結果となったのは、皮肉なことかもしれない。,資本主義的な市場活動や技術・コミュニケーション革命は、伝統的な文化や社会にますます侵入してきている。開発の不平等や、一部の民族や経済集団の社会的疎外感の増大は、自分たちが疎外されているという意識の高まりとともに、テロリズムを生み出す根拠となっている。,強力な中央集権体制と抑圧的な手法を特徴とする非民主的な国家構造は、民衆の不満が政治体制の終焉を意図した実行的なテロ活動へと変化する余地を開いている。一方、自由民主主義では、民衆参加の機会があるため、民衆の不満が否定的な形で表現されることを防ぐ。,C
テロリズムやテロリスト関連の有効な定義に属する技術と標的は何か?,自爆攻撃は、直前に、または死傷者が最大になるときに爆発を可能にするという利点を有するテロリストによって使用されてきた。 将来の潜在的な危険は、自爆攻撃が化学兵器、生物兵器、放射線兵器の使用と組み合わされる可能性があること。,民主主義国家では、政府が市民をどの程度監視できるか、また攻撃が発生した場合にどの程度の宣伝を行うかには限界があるため、脆弱な標的を見つける能力はより高い可能性がある。 しかし、弱い非民主主義国の治安部隊は、テロ活動を助長する条件も提供しており、活動と移動の相対的な自由を可能にしている。,大量破壊兵器はあまり使用されておらず、その使用には高度な資源と訓練を受けた人材が必要である。さらに、ほとんどのテロリスト・グループは、標的に最大限の死傷者を与えるため、より予測しやすい方法を好んで使用している。しかし、大量破壊兵器の使用を恐れるあまり、テロ集団はある程度心理的優位に立っている。,これらすべての選択肢,D
安全保障研究の発展にとって、安全保障研究の新しい批評学派の重要性は何だったのだろうか?単にIRとなり、安全保障研究としての位置づけを失っただけなのか?,次世代は、政策問題への関与や、政策立案者やシンクタンクとの直接的な相互作用の中で議論を展開する可能性が高い。,政策知識は理論に反映され、米欧の思想家の間に交流が生まれれば、理論的背景は同じになる。,この組織は、安全保障研究がIR学問分野と技術専門家・実践者の間に位置するという構図が続く。,欧州の安全保障研究は、（政策）知識の一形態として扱われるのに対し、米国の安全保障理論は、これを批判的分析のための主要な経験的資料として扱う。,C
21世紀の平和研究者に、環境問題はどのような形で、懸念を提起しているか?,環境上の制約が従来の経済成長を制限し、経済的安全保障と発展に直接的な脅威をもたらす可能性がある。,海面上昇などの環境変化は、住民が定住する土地や資源へのアクセスを脅かす可能性がある。こうした変化の結果としての移住は、社会的、経済的、その他の安全保障分野に対する脅威をもたらす。,環境悪化と資源需要の増加は、欠乏を招き、紛争を引き起こす可能性が高い。,これらすべての選択肢,D
開発途上国における不安定さの性質と結果を確立する必要がある。これはなぜか?,経験的には、1945年以降、事実上すべての戦争と主要な政治的暴力が開発途上国で起こり続けている理由と、その大部分が外部ではなく内部の原因によるものである理由を理解する必要がある。2000万人から3000万人もの人々が、100以上の国家内戦争で命を落としており、毎年20から40の戦争が進行中である。,概念的には、開発途上世界における安全保障状況の独特な性質、すなわち、国内戦争、共同体の暴力、貧困、飢饉、武器拡散、犯罪、政情不安、社会経済の崩壊、国家の崩壊に対応する適切な理論と概念を見出す必要がある。,規範的な観点から見ると、安全保障の欠如を解決するためには明らかな人道的義務がある。すなわち、国内暴力の被害者の90%は民間人であり、50万人が軽兵器で殺害され、年間4万人が飢餓と貧困で死亡し、数千万人が疾病、慢性的な貧困、不十分な健康、教育、雇用、環境などの原因で死亡している。,これらすべてのオプション。先進国の安全保障と、世界の「不安定地帯」における安全保障の種類との間には、深刻な隔たりがある。世界的な観点から見ると、不安は安全よりもむしろ一般的状況である。しかし、グローバリゼーションは本質的に、これらの形態の不安を、ますます穴だらけになっている国境内に封じ込めることができないことを意味する。,D
現実主義の観点から国際システムを考えるとき、戦争の発生に関する次の記述のうち、正しいものはどれか?,戦争は、国家が力を失いつつあるときに起こりやすい。国家が攻撃、強制、脆弱性から自らを守る能力が低下すると、攻撃的行動に出る動機が高まる。,戦争は、他の理由の中でも、国家が責任転嫁への動機と機会を持っている多極的な国際システムでより起こりやすいかもしれない。,戦争は、国際システムの攻守のバランスが攻めに有利で、国家にとってより競争的な環境を作り出している場合により起こりやすい。,これらすべての選択肢,D
